,genotype,plot_ID,SITE,line,location,BIOMASS,AREA,SLA,FRESH,DRY,RWC,OP,MDWP,TC,SC,ETSC,Population,subpopulation,Group,LATITIUDE,LONGITUDE,RAWREADCOUNT,FILTEREDREADCOUNT,COUNTMAPPED,PERCENTMAPPED
PD11-12,NOH,K1901,KINGS,NOH.5.G2,West,44.79,7,235.6902357,0.0847,0.0297,83.081571,644,19,281,114,32034,HAL_II,HAL_II_I,HAL_II_KINGS,26.4949444,-97.5452778,6923197,4265398,1873611,43.9
PD11-13,ESE,K1902,KINGS,ESE.2.G1,CenTex,78.89,9.69,194.1883768,0.1442,0.0499,81.64502165,574,23,535,210.5,112617.5,HAL_I,HAL_I_I,HAL_I_KINGS,30.3482,-99.5893667,6278716,3524470,1511058,42.9
PD11-14,JHC,K1904,KINGS,JHC.3.G2,TexMex,34.39,5.48,232.2033898,0.069,0.0236,79.64912281,608,19.5,417,60.5,25228.5,HAL_II,HAL_II_II,HAL_II_KINGS,30.20725,-98.3069667,7070422,4184270,2033232,48.6
PD11-15,POI,K1905,KINGS,POI.3.G4,Sym,82.39,8.26,182.3399558,0.1006,0.0453,79.1130186,671,20.5,817,270,220590,HAL_II,HAL_II_I,HAL_II_KINGS,26.0642778,-97.2375278,5313319,3276494,1649237,50.3
PD11-16,AWR,K1908,KINGS,AWR.1.G1,Filipes,273.5,11.36,206.1705989,0.173,0.0551,81.42265193,663,17,374,315.5,117997,FIL,FIL_I,FIL_KINGS,28.285083,-96.945733,5170076,3097045,1268665,41
PD11-17,TNK,K1909,KINGS,TNK.2.F,West,120.39,14.15,223.1861199,0.2171,0.0634,90.4649794,543,17.5,356,75,26700,HAL_I,HAL_I_II,HAL_I_KINGS,34.9369333,-104.6939667,7660439,4502678,2365793,52.5
PD11-18,FIL,K1910,KINGS,FIL.2A.G2,Filipes,576.6,12.33,219.3950178,0.1684,0.0562,87.51950078,603,19.5,617,1252,772484,FIL,FIL_II,FIL_KINGS,27.649558,-97.403858,6958742,4218880,2245172,53.2
PD11-19,NUE,K1911,KINGS,NUE.1.F,Filipes,97.79,9.39,240.7692308,0.1192,0.039,81.50406504,574,18.5,492,145.5,71586,HAL_II,HAL_II_I,HAL_II_KINGS,27.5683833,-97.7955833,6919043,4142086,2550457,61.6
PD11-2,CCO,K1515,KINGS,CCO.2.F,West,42.69,10,219.7802198,0.1508,0.0455,90,476,14,203,272.5,55317.5,HAL_I,HAL_I_II,HAL_I_KINGS,34.43787,-101.05611,5008463,2985042,1702426,57
PD11-23,ALI,K2001,KINGS,ALI.4.G1,West,157.39,13.19,188.1597718,0.187,0.0701,78.50906649,646,23.5,433,206,89198,HAL_I,HAL_I_II,HAL_I_KINGS,35.57391,-101.70107,5599692,3408876,1981881,58.1
PD11-24,BBD,K2004,KINGS,BBD.5.G1,TexMex,94.79,5.31,191.6967509,0.0714,0.0277,77.4822695,590,20,409,164,67076,HAL_II,HAL_II_II,HAL_II_KINGS,29.6235361,-103.116225,7166443,4282483,2199802,51.4
PD11-25,CLA,K2005,KINGS,CLA.1A.G1,West,140.49,9.93,213.5483871,0.1472,0.0465,80.4313099,581,18.5,597,51,30447,HAL_I,HAL_I_II,HAL_I_KINGS,36.63637,-103.03747,7270768,4420147,2422054,54.8
PD11-26,ATA,K2008,KINGS,ATA.1.G1,TexMex,86.79,7.12,235.7615894,0.0853,0.0302,75.68681319,583,19.5,413,168,69384,HAL_II,HAL_II_I,HAL_II_KINGS,28.7897,-98.5413167,7068230,4384701,2447365,55.8
PD11-27,BEX,K2013,KINGS,BEX.14.G1,CenTex,124.39,9.4,148.4992101,0.15,0.0633,91.07142857,626,20.5,409,203.5,83231.5,HAL_I,HAL_I_I,HAL_I_KINGS,29.72139,-98.354249,7545270,4620531,2700453,58.4
PD11-28,BOS,K2016,KINGS,BOS.3.G1,West,63.49,10.65,188.4955752,0.1663,0.0565,83.11884936,634,19.5,297,101,29997,HAL_I,HAL_I_II,HAL_I_KINGS,32.127966,-97.559581,7023845,4211119,2482825,59
PD11-29,EPS,K2103,KINGS,EPS.1C.G1,Filipes,395.5,16.17,224.5833333,0.238,0.072,84.99743984,606,19.5,621,603.5,374773.5,FIL,FIL_II,FIL_KINGS,28.4825639,-100.2100444,6326609,3896584,2243344,57.6
PD11-3,BEX,K1605,KINGS,BEX.14.G1,CenTex,99.19,13.39,169.9238579,0.1884,0.0788,80.58823529,494,18.5,303,253.5,76810.5,HAL_I,HAL_I_I,HAL_I_KINGS,29.72139,-98.354249,5242115,3128261,1745179,55.8
PD11-4,CCO,K1610,KINGS,CCO.2.F,West,45.49,9.48,220.979021,0.1348,0.0429,89.5711501,541,12,248,84,20832,HAL_I,HAL_I_II,HAL_I_KINGS,34.43787,-101.05611,6515035,3880649,1740085,44.8
PD11-5,ARR,K1611,KINGS,ARR.1A.G2,West,24.19,7.94,198.0049875,0.1102,0.0401,84.25480769,526,20,140,86,12040,HAL_I,HAL_I_II,HAL_I_KINGS,31.61339,-110.50628,5348941,3133965,1556957,49.7
PD11-6,CAM,K1614,KINGS,CAM.1.G1,Filipes,491.1,23.96,185.8805275,0.4046,0.1289,89.51298701,524,17,469,1043.5,489401.5,FIL,FIL_II,FIL_KINGS,26.0007,-97.26905,4822403,2796684,1406866,50.3
PD11-7,CLA,K1801,KINGS,CLA.1A.G1,West,52.39,8.11,190.3755869,0.1375,0.0426,83.17265557,576,19.5,214,55,11770,HAL_I,HAL_I_II,HAL_I_KINGS,36.63637,-103.03747,4835338,2925445,1575959,53.9
PD11-9,ABI,K1808,KINGS,ABI.1.G3,CenTex,87.59,5.59,229.0983607,0.0668,0.0244,69.73684211,458,9.5,293,126,36918,HAL_I,HAL_I_I,HAL_I_KINGS,31.85987,-99.44224,6869897,4180603,2016904,48.2
PD12-10,SMT,K1016,KINGS,SMT.1.G2,TexMex,36.79,4.92,274.8603352,0.0681,0.0179,89.96415771,544,16,258,98,25284,HAL_II,HAL_II_II,HAL_II_KINGS,31.5616389,-98.5992222,9078365,5160287,2706008,52.4
PD12-13,BUS,K1104,KINGS,BUS.3.G1,West,128.99,11.44,182.4561404,0.1845,0.0627,91.51014275,518,17,313,145.5,45541.5,HAL_I,HAL_I_II,HAL_I_KINGS,35.26486,-102.06054,7316821,4310248,2189099,50.8
PD12-14,ESE,K1112,KINGS,ESE.2.G1,CenTex,70.69,11.01,210.1145038,0.1536,0.0524,85.76271186,536,16,304,247.5,75240,HAL_I,HAL_I_I,HAL_I_KINGS,30.3482,-99.5893667,6363362,3679461,2122340,57.7
PD12-15,BOS,K1113,KINGS,BOS.3.G1,West,77.59,12.66,163.5658915,0.2022,0.0774,88.13559322,583,15.5,242,264,63888,HAL_I,HAL_I_II,HAL_I_KINGS,32.127966,-97.559581,5621636,3322670,2066299,62.2
PD12-16,BEL,K1115,KINGS,BEL.3.G1,CenTex,59.49,6.84,212.4223602,0.0949,0.0322,83.82352941,519,18.5,285,182.5,52012.5,HAL_I,HAL_I_I,HAL_I_KINGS,30.918305,-97.658112,8484960,5007137,2729410,54.5
PD12-17,CLA,K1207,KINGS,CLA.1A.G1,West,73.69,9.61,207.5593952,0.1448,0.0463,87.71148709,524,15.5,332,80.5,26726,HAL_I,HAL_I_II,HAL_I_KINGS,36.63637,-103.03747,7792310,4424185,2168181,49
PD12-18,CLD,K1210,KINGS,CLD.3.G1,West,81.19,15.76,201.7925736,0.2666,0.0781,88.53922029,458,15,180,220,39600,HAL_I,HAL_I_II,HAL_I_KINGS,34.79841,-101.43629,6293017,3703463,2163206,58.4
PD12-19,GNF,K1215,KINGS,GNF.1.G1,Filipes,73.89,9.67,185.2490421,0.1571,0.0522,90.27538726,541,17,104,248,25792,FIL,FIL_I,FIL_KINGS,29.3119167,-97.3001333,9452790,5572477,3114773,55.9
PD12-2,ESE,K1004,KINGS,ESE.2.G1,CenTex,139.79,11.38,188.410596,0.1739,0.0604,87.71251932,671,13,478,253.5,121173,HAL_I,HAL_I_I,HAL_I_KINGS,30.3482,-99.5893667,6356355,3693564,1907867,51.7
PD12-20,FIL,K1216,KINGS,FIL.2A.G2,Filipes,438.7,20.33,164.7487844,0.364,0.1234,97.09443099,543,14,526,1209,635934,FIL,FIL_II,FIL_KINGS,27.649558,-97.403858,7661617,4561882,2456242,53.8
PD12-22,CRS,K1303,KINGS,CRS.3.G1,West,179.09,22,217.6063304,0.3589,0.1011,91.12760693,575,14,305,330.5,100802.5,HAL_I,HAL_I_II,HAL_I_KINGS,34,-101.0568,7773263,4559576,1991015,43.7
PD12-23,NOH,K1305,KINGS,NOH.5.G2,West,98.19,7.99,255.2715655,0.101,0.0313,84.89646772,574,19.5,503,133.5,67150.5,HAL_II,HAL_II_I,HAL_II_KINGS,26.4949444,-97.5452778,4875106,2867241,1722396,60.1
PD12-24,STW,K1307,KINGS,STW.12.G1,CenTex,114.89,7.2,211.143695,0.107,0.0341,91.125,538,19.5,328,139,45592,HAL_I,HAL_I_I,HAL_I_KINGS,32.60925,-98.4895667,7944209,4686104,2443471,52.1
PD12-25,CLD,K1308,KINGS,CLD.3.G1,West,9.99,11.72,187.8205128,0.165,0.0624,82.74193548,614,24,177,190,33630,HAL_I,HAL_I_II,HAL_I_KINGS,34.79841,-101.43629,5382749,2943134,1378406,46.8
PD12-27,BBD,K1314,KINGS,BBD.5.G1,TexMex,147.39,6.35,194.7852761,0.0857,0.0326,84.28571429,552,21.5,290,139,40310,HAL_II,HAL_II_II,HAL_II_KINGS,29.6235361,-103.116225,9136250,5254497,3189057,60.7
PD12-28,WBW,K1318,KINGS,WBW.16.G4,Sym,44.19,6.23,198.4076433,0.078,0.0314,81.04347826,497,19,195,124,24180,HAL_I,HAL_I_I,HAL_I_KINGS,30.432931,-99.795803,6428279,3714363,2408882,64.9
PD12-29,ALI,K1406,KINGS,ALI.4.G1,West,123.39,9.43,192.8425358,0.1782,0.0489,NA,457,16,304,149.5,45448,HAL_I,HAL_I_II,HAL_I_KINGS,35.57391,-101.70107,7372022,4264356,2315212,54.3
PD12-3,ART,K1005,KINGS,ART.1.G2,West,50.19,15.58,207.4567244,0.2403,0.0751,89.4907909,639,13.5,188,85.5,16074,HAL_I,HAL_I_II,HAL_I_KINGS,32.856733,-104.931567,6194765,3340575,1462772,43.8
PD12-30,BBD,K1409,KINGS,BBD.5.G1,TexMex,27.69,8.72,213.202934,0.1179,0.0409,77.38693467,489,16,135,155.5,20992.5,HAL_II,HAL_II_II,HAL_II_KINGS,29.6235361,-103.116225,8494216,4833068,2864655,59.3
PD12-4,PDL,K1007,KINGS,PDL.4.G1,West,168.49,15.32,217.6136364,0.2152,0.0704,83.69942197,575,16.5,257,145,37265,HAL_I,HAL_I_II,HAL_I_KINGS,34.94755,-101.68897,6725361,3836502,1708784,44.5
PD12-5,CNF,K1008,KINGS,CNF.2.G1,West,79.49,14.33,191.0666667,0.2133,0.075,82.61648746,647,13.5,164,180.5,29602,HAL_I,HAL_I_II,HAL_I_KINGS,31.8020583,-110.9152417,6055051,3397351,1674262,49.3
PD12-6,ZAP,K1009,KINGS,ZAP.1.G1,Filipes,207.2,21.56,204.7483381,0.334,0.1053,91.15185333,524,15,314,443.5,139259,FIL,FIL_II,FIL_KINGS,27.021,-99.1250833,6220976,3497729,1736402,49.6
PD12-7,FIL,K1010,KINGS,FIL.2A.G2,Filipes,412.3,25.56,181.405252,0.4215,0.1409,84.69664956,516,13.5,489,1082.5,529342.5,FIL,FIL_II,FIL_KINGS,27.649558,-97.403858,5653863,3329276,1965318,59
PD12-8,PAB,K1011,KINGS,PAB.1.F,Filipes,189.69,7.77,156.3380282,0.1314,0.0497,89.28961749,606,15.5,287,478.5,137329.5,FIL,FIL_I,FIL_KINGS,26.0199333,-97.4745,6676940,3932573,2375130,60.4
PD13-1,GNF,K2105,KINGS,GNF.1.G1,Filipes,64.89,8.28,172.5,0.1455,0.048,84.7826087,540,19.5,179,226,40454,FIL,FIL_I,FIL_KINGS,29.3119167,-97.3001333,5435504,2889882,1809331,62.6
PD13-10,CNF,K2303,KINGS,CNF.2.G1,West,99.29,17.04,172.1212121,0.2929,0.099,84.15798611,571,25,205,126.5,25932.5,HAL_I,HAL_I_II,HAL_I_KINGS,31.8020583,-110.9152417,5365352,3001696,1737221,57.9
PD13-11,BAN,K2307,KINGS,BAN.17.G1,CenTex,161.09,9.1,206.8181818,0.1277,0.044,82.5443787,595,20,320,149,47680,HAL_I,HAL_I_I,HAL_I_KINGS,29.847301,-99.573411,5311913,2969543,2036797,68.6
PD13-12,AWR,K2310,KINGS,AWR.1.G1,Filipes,219.8,15.09,202.8225806,0.1995,0.0744,81.07582631,563,23,131,221,28951,FIL,FIL_I,FIL_KINGS,28.285083,-96.945733,4445227,2524197,1636264,64.8
PD13-13,ALI,K2312,KINGS,ALI.4.G1,West,113.59,14.07,196.7832168,0.2196,0.0715,85.70601852,548,19.5,210,174,36540,HAL_I,HAL_I_II,HAL_I_KINGS,35.57391,-101.70107,4242571,1683598,979457,58.2
PD13-14,ATA,K2317,KINGS,ATA.1.G1,TexMex,97.59,8.08,241.1940299,0.1031,0.0335,82.85714286,477,19.5,260,193.5,50310,HAL_II,HAL_II_I,HAL_II_KINGS,28.7897,-98.5413167,4509117,2415077,1518946,62.9
PD13-15,BAN,K2407,KINGS,BAN.17.G1,CenTex,106.29,7.12,155.4585153,0.1337,0.0458,81.61559889,603,18.5,335,84.5,28307.5,HAL_I,HAL_I_I,HAL_I_KINGS,29.847301,-99.573411,3737960,2041782,1456785,71.3
PD13-16,CAM,K2414,KINGS,CAM.1.G1,Filipes,652.7,23.81,173.7956204,0.4124,0.137,82.23350254,590,19.5,597,1044.5,623566.5,FIL,FIL_II,FIL_KINGS,26.0007,-97.26905,5649951,3292119,2264816,68.8
PD13-17,ARA,K2506,KINGS,ARA.1.G1,Filipes,513.5,17.75,187.2362869,0.2643,0.0948,85.56284705,507,18,379,785,297515,FIL,FIL_II,FIL_KINGS,28.2236667,-96.987,9368548,5163236,2718057,52.6
PD13-18,BUS,K2507,KINGS,BUS.3.G1,West,128.19,10.96,213.6452242,0.1505,0.0513,81.04575163,544,20,269,169,45461,HAL_I,HAL_I_II,HAL_I_KINGS,35.26486,-102.06054,8703937,4997392,2555626,51.1
PD13-19,PIN,K2515,KINGS,PIN.1.G2,West,89.89,16.39,189.0426759,0.2638,0.0867,NA,741,19.5,239,173,41347,HAL_I,HAL_I_II,HAL_I_KINGS,34.31606,-111.40063,7512886,4191170,2409746,57.5
PD13-20,BUS,K2516,KINGS,BUS.3.G1,West,122.89,11.55,165.2360515,0.1878,0.0699,82.16027875,677,19,275,150.5,41387.5,HAL_I,HAL_I_II,HAL_I_KINGS,35.26486,-102.06054,8703448,4715750,2841864,60.3
PD13-21,CLD,K2518,KINGS,CLD.3.G1,West,72.69,14.81,181.7177914,0.2326,0.0815,94.26076107,608,19.5,217,119,25823,HAL_I,HAL_I_II,HAL_I_KINGS,34.79841,-101.43629,6843966,3750305,1816152,48.4
